99	-1901	869	-1032	-37	-25	-34
100	-1935	851	-1004	-61	-82	18
101	-2003	821	-963	-107	-136	68
102	-2094	766	-928	-179	-173	124
103	-2172	826	-936	-229	-200	179
104	-2279	866	-952	-255	-219	220
105	-2394	907	-977	-254	-222	235
106	-2694	879	-865	40	-112	163
107	-2678	778	-783	196	-13	106
108	-2571	577	-809	242	32	91
109	-2592	417	-799	200	56	72
110	-2516	365	-718	121	82	43
111	-2393	331	-718	-6	112	30
112	1	1	-1	1	1	-1
113	-2117	549	-906	181	159	90
114	-2071	579	-887	332	163	124
115	-2016	540	-843	441	165	145
116	-1998	468	-810	486	159	151
117	-2007	433	-742	480	149	136
118	-1995	443	-721	435	124	118
119	-2015	457	-696	429	98	103
120	-2033	477	-681	440	66	82
121	-2039	459	-713	461	28	55
122	-2091	450	-693	468	-26	52
123	-2271	464	-594	422	-196	60
124	-2538	253	-915	-346	-362	122
125	-2590	410	-1016	-520	-312	87
126	-2623	626	-1190	-602	-259	61
127	-2707	834	-1335	-588	-217	59
128	-2743	932	-1437	-492	-182	52
129	-2737	974	-1456	-383	-143	42
130	-2667	965	-1383	-267	-87	46
131	-2595	1055	-1340	-187	-35	53
132	-2482	1115	-1344	-127	15	70
133	-2405	1127	-1368	-72	63	79
134	-2389	1063	-1330	-12	95	72
135	-2329	1070	-1249	52	148	44
136	-2204	979	-1128	270	230	-53
137	-2136	889	-1096	353	245	-70
138	-2123	744	-1005	395	249	-79
139	-2093	610	-898	379	255	-73
140	-2052	529	-834	320	247	-46
141	-2038	525	-815	249	227	-13
142	-1989	535	-909	40	41	85
143	-1977	580	-949	-14	21	95
144	-2024	647	-960	-35	13	94
145	-2049	711	-968	-56	10	93
146	-2105	729	-961	-78	5	95
147	-2135	763	-979	-115	3	88
148	-2109	896	-1046	-99	4	58
149	-2079	946	-1126	-62	-16	26
150	-2086	940	-1158	-30	-23	-1
151	-2100	915	-1166	7	-25	-18
152	-2139	900	-1144	43	-37	-28
153	-2152	877	-1138	79	-46	-21
154	-2143	850	-1149	118	-48	-13
155	-2140	810	-1135	144	-51	4
156	-2130	790	-1110	170	-47	30
157	-2137	781	-1094	184	-56	57
158	-2185	777	-1064	193	-61	82
159	-2148	745	-1107	48	-74	85
160	-2147	764	-1073	55	-62	74
161	-2169	765	-1047	77	-55	79
162	-2204	742	-996	89	-39	81
163	-2282	647	-974	81	-34	67
164	-2304	574	-967	56	-32	54
165	-2325	567	-1001	10	-37	32
166	-2334	550	-1041	-32	-46	23
167	-2363	548	-1019	-62	-53	15
168	-2403	494	-1019	-84	-43	17
169	-2407	445	-982	-123	-39	21
170	-2450	392	-970	-178	-24	31
171	-2496	365	-943	-247	-5	32
172	-2515	405	-889	-290	14	24
173	-2503	455	-913	-310	39	25
174	-2520	452	-934	-321	59	22
175	-2504	463	-957	-325	95	4
176	-2465	457	-965	-333	132	-16
177	0	0	0	0	0	0
178	-2329	407	-875	-88	244	-162
179	-2261	399	-822	-71	246	-189
180	-2207	409	-805	-62	256	-214
181	-2127	399	-785	-60	265	-244
182	-1991	381	-731	-64	265	-320
183	-1988	380	-730	-68	253	-331
184	-2026	388	-738	-70	233	-334
185	-2078	421	-742	-110	165	-307
186	-2091	434	-774	-173	113	-276
187	-2088	446	-796	-247	63	-244
188	-2084	484	-840	-343	27	-201
189	-2088	505	-879	-454	-4	-145
190	-2111	559	-928	-573	-22	-94
191	-2207	794	-1062	-719	-24	2
192	-2273	952	-1114	-748	-11	48
193	-2314	1096	-1144	-743	16	83
194	-2081	1510	-1248	-552	162	142
195	-2053	1534	-1263	-455	169	135
196	-2046	1531	-1306	-362	160	128
197	-2030	1479	-1328	-271	144	119
198	-2012	1386	-1299	-200	122	120
199	-1992	1296	-1259	-144	101	135
200	-1985	1233	-1218	-119	90	162
201	-1929	1250	-1161	-77	74	222
202	-1890	1318	-1115	-44	64	254
203	-1819	1361	-1073	29	7	305
204	-1788	1408	-1051	59	-38	316
205	-1742	1548	-1030	154	-159	363
206	-1774	1625	-1059	232	-204	374
207	-1788	1690	-1087	311	-246	388
208	-1810	1705	-1101	412	-290	405
209	-1849	1707	-1124	517	-340	410
210	-1898	1694	-1117	754	-429	420
211	-1959	1647	-1112	897	-480	428
212	-2119	1469	-984	1346	-692	470
213	-2112	1395	-936	1429	-747	470
214	-2063	1338	-894	1490	-799	485
215	-2011	1356	-850	1560	-856	500
216	-1972	1403	-837	1656	-932	522
217	-1992	1443	-688	1912	-1073	568
218	-1992	1409	-553	2071	-1155	600
219	-1975	1253	-412	2260	-1264	635
220	-1958	1160	-374	2316	-1306	653
221	0	0	0	0	0	0
222	-1934	1051	-306	2398	-1388	704
223	-1954	953	-241	2515	-1453	760
224	-1955	868	-179	2580	-1470	782
225	0	0	0	0	0	0
226	-1965	774	-83	2702	-1483	829
227	-1984	683	2	2779	-1481	892
228	-2032	649	78	2794	-1484	945
229	-1908	399	183	3029	-1489	1394
230	-1996	114	227	3029	-1498	1433
231	-2174	-198	275	2898	-1484	1501
232	-2650	-576	230	2306	-1371	1680
233	-3040	-603	328	1925	-1228	1790
234	-3388	-554	361	1621	-1099	1883
235	-3684	-526	361	1371	-935	1945
236	-3851	-452	246	1186	-742	1985
237	-4051	-226	-4	1030	-235	1978
238	-4236	-161	-71	1020	103	1935
239	-4396	-148	13	1023	401	1835
240	-4598	-243	215	1015	647	1726
241	-4916	-331	390	955	886	1552
242	-4962	-393	521	852	1137	1343
243	-5017	-507	554	694	1435	1116
244	-4830	-590	479	461	1792	867
245	-5637	-1648	975	-289	2423	395
246	-6449	-2683	1902	-1028	2807	-9
247	-16743	-5382	7148	-8167	9124	-3540
248	-14812	-2071	5434	-7966	11367	-3725
249	0	0	0	0	0	0
250	-13881	1525	6811	-2356	13715	-2267
251	-14812	2681	9243	5463	12463	1331
252	-5090	8886	6015	10837	8909	10225
253	-32768	-20728	-19015	10340	3463	18495
254	-32768	9310	12066	-882	-3063	832
255	11898	-8871	13426	-348	-1570	-4173
256	6227	-3210	587	-227	1218	-3965
257	4517	-2724	-3708	-552	1204	-3644
258	3833	119	-3269	-1039	-224	-3100
259	2512	8156	2697	-433	-6	-4072
260	2986	5561	2047	214	631	-4373
261	2163	1518	792	-480	953	-4558
262	2651	-79	602	-1828	1147	-4574
263	2266	-132	-71	-2827	1248	-4029
264	1032	548	-898	-3709	-51	-1368
265	526	689	-1988	-3753	-296	-901
266	213	896	-2743	-3580	-685	-780
267	-118	966	-2903	-3332	-1112	-697
268	-381	726	-2725	-3211	-1513	-471
269	-1044	227	-2791	-3790	-1996	145
270	-1588	544	-3303	-4302	-2246	321
271	-1909	869	-3613	-4555	-2421	296
272	-2176	1449	-3641	-4503	-2568	197
273	-2418	1820	-3464	-4212	-2685	110
274	-2698	2063	-3073	-3859	-2738	78
275	-2669	2624	-2665	-3004	-2228	170
276	-2451	2810	-2820	-2710	-1958	55
277	-2325	2871	-2701	-2368	-1672	-161
278	-2173	2924	-2420	-1997	-1383	-385
279	-2030	3112	-2130	-1620	-1131	-558
280	-1830	3064	-1727	-782	-826	-785
281	-1700	2959	-1517	-276	-758	-955
282	-1144	2259	-1101	1307	-1146	-1526
283	-1129	1921	-963	1236	-1261	-1612
284	-1119	1706	-922	1036	-1350	-1677
285	-1105	1580	-788	642	-1461	-1747
286	-1146	1570	-771	487	-1492	-1758
287	-1182	1588	-821	443	-1498	-1762
288	-1201	1567	-799	472	-1502	-1771
289	-1284	1476	-727	514	-1488	-1794
290	-1427	1510	-526	594	-1425	-1801
291	-1525	1496	-504	610	-1374	-1756
292	-1559	1462	-523	591	-1304	-1689
293	-1562	1529	-579	573	-1246	-1627
294	-1585	1558	-605	548	-1181	-1568
295	-1627	1518	-635	511	-1120	-1520
